"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","计划生产特征测试用例","1","0","模拟ctrl+m修改","0"
"0","","0","计划生产特征测试用例","1","0","删除测试数据成功，删除布局成功","0"
"0","","1","资源组表测试用例","0","0","模拟ctrl+m修改","0"
"0","","0","资源表测试用例","1","0","过滤条件查询，设置包含条件查询成功","0"
"0","","0","物品表测试用例","1","0","模拟ctrl+m添加重复","0"
"0","","0","资源表测试用例","1","0","校验数字文本框和文本框成功","0"
"1","","0","资源组表测试用例","0","0","查询代码成功","0"
"0","","0","物品表测试用例","1","0","查询物料名称包含A或物料优先度≥1","0"
"0","","0","资源表测试用例","1","0","取消删除数据","0"
"0","","0","计划生产特征测试用例","1","0","过滤条件查询，设置符合结尾查询成功","0"
"0","","0","计划生产特征测试用例","1","0","取消删除数据","0"
"0","","0","客户表测试用例","1","0","新增数据成功","0"
"0","","0","客户表测试用例","1","0","模拟ctrl+i添加","0"
"0","","0","计划生产特征测试用例","1","0","生产特征3增删查改","0"
"0","","0","计划生产特征测试用例","1","0","模拟ctrl+m添加重复","0"
